timestamp,building_name,current_investment,max_investment
2025-11-29T16:14:50.691656,Lumberyard,2482,3000
2025-11-29T16:14:50.692936,Wood Workshop,2311,3000
2025-11-29T16:14:50.693100,Tavern,627,1000
2025-11-29T16:14:50.693193,Training Hall,2553,3000
2025-11-29T16:14:50.693272,Amphitheatre,523,2000
2025-11-29T16:14:50.693352,Apothecary,2080,3000
2025-11-29T16:14:50.693420,Garden,2402,3000
2025-11-29T16:14:50.693487,Master Lodge,405,2000
2025-11-29T16:14:50.693558,Sol Tower,1352,2000
2025-11-29T16:14:50.693627,Laboratory,1139,2000
2025-11-29T16:14:50.693696,Bakery,1030,2000
2025-11-29T16:14:50.693763,Restaurant,1940,3000
2025-11-29T16:14:50.693830,Jewel Workshop,90,2000
2025-11-29T16:14:50.693898,Jewel Storehouse,1377,2000
2025-11-29T16:14:50.693976,Luna Tower,1765,2000
2025-11-29T16:14:50.694044,Academy,1800,2000
2025-11-29T16:14:50.694188,Tannery,2619,3000
2025-11-29T16:14:50.694307,Tailor Workshop,19,2000
2025-11-29T16:14:50.694397,Military Camp,845,1000
2025-11-29T16:14:50.694482,Wind Nexus,527,2000
2025-11-29T16:14:50.694597,Weaver Mill,1380,2000
2025-11-29T16:14:50.694716,Emerald Inn,913,1500
2025-11-29T16:14:50.694803,Oil Press,2010,3000
2025-11-29T16:14:50.694883,Smithy,726,2000
2025-11-29T16:14:50.694967,Smelter,2307,3000
2025-11-29T16:14:50.695049,Iron Mine,0,2000
2025-11-29T16:14:50.695125,Ether Well,1388,2000
2025-11-29T16:14:50.695192,Wizard Tower,1080,2000
2025-11-29T16:14:50.695258,Mausoleum,244,2000
2025-11-29T16:14:50.695321,Summoner's Tent,910,2000
